objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
colkav0,Collection/Objects/bronzeawardcertifcatestrp1226.png at main · chrkav/Collection (github.com),,,Award Certificate - Bronze Award Blank Troop 1226,"Kavanagh, Christa",2023-09-13,A blank awards certificate for the Girl Scout Bronze Award designed for Orange County Troop 1226. The girls earned their Bronze Award in 2023 for their service project constructing rabbit hutches for a local rescue.,Awards; Junior Girl Scouts; Bronze,,,,,,,image/png,,,http://rightsstatements.org/vocab/InC/1.0/
colkav1,Collection/Objects/beefile.png at main · chrkav/Collection (github.com),,,Bee image ,"Kavanagh, Christa",2023-06-08,"Digital art of a bee. This was created as both an initial exploration of Inkscape, a 2D vector design program, and as a prototype for a video game character. ",Bee; Computer art,,,,,,,image/png,,,http://rightsstatements.org/vocab/InC/1.0/
colkav2,Collection/Objects/familyrecipesstarter.pdf at main · chrkav/Collection (github.com),,,Family Recipes Cookbook Starter,"Kavanagh, Christa",2022-09-14,"Cookbook compiled with family recipes originally created to pass on the recipes. It has been passed on to family members and friends as printed material in three ring binders with extra sheet protectors, functioning as a living document and a starter cookbook.",Cooking; Cookbook; Recipes,,,,,,,application/pdf,,,http://rightsstatements.org/vocab/InC/1.0/
colkav3,Collection/Objects/greenseaturtlenagsheadnc.png at main · chrkav/Collection (github.com),,,Green Sea Turtle - Juvenile,"Kavanagh, Christa",2021-11-02,"A photograph of a juvenile green sea turtle (Chelonia mydas) making its way to the ocean. This turtle was found on the beach at Nags Head, North Carolina in November 2021. ",Green sea turtle,"Nags Head, North Carolina",,,,,,image/png,,,http://rightsstatements.org/vocab/InC-EDU/1.0/
colkav4,Collection/Objects/onceuponanislandprogramcoveryppc.png at main · chrkav/Collection (github.com),,,Program - Once Upon an Island,"Kavanagh, Christa",2024-03-01,"Program cover design for Once Upon an Island, a Young People Player's Company Production, written by Jeffryn Stephens.",Theater programs; Children's theater; Playbills,"Durham, North Carolina",,,,,,image/png,,,http://rightsstatements.org/vocab/InC-EDU/1.0/
colkav5,Collection/Objects/glastonburytoruk.JPG at main · chrkav/Collection (github.com),,,"View of Glastonbury Tor, UK","Kavanagh, Christa",2015-09-09,"A view of Glastonbury Tor and St. Michael's Tower from the bottom, late afternoon. ",Glastonbury Tor (England),"Glastonbury Tor, England, UK",,,,,,image/jpg,,,http://rightsstatements.org/vocab/InC-EDU/1.0/
colkav6,Collection/Objects/baptismalfontwinchesterabbeywinchesteruk.JPG at main · chrkav/Collection (github.com),,,"Tournai font, Winchester Cathedral","Kavanagh, Christa",2015-09-08,"The Tournai baptismal font in Winchester Cathedral. Commissioned around 1150 by Bishop Henri of Blois, it features scenes from the miracles of Saint Nicholas of Myra. Shown are St. Nicholas resurrecting murdered children and saving other passengers in a boat.",Baptismal fonts; Miracles,"Winchester, England, UK",,,,,,image/jpg,,,http://rightsstatements.org/vocab/InC-EDU/1.0/
colkav7,Collection/Objects/blackratsnakefallslakenc.png at main · chrkav/Collection (github.com),,,Eastern Rat Snake on a Loblolly Pine,"Kavanagh, Christa",2020-10-21,An Eastern rat snake (Pantherophis alleghaniensis) climbing a Loblolly Pine (Pinus taeda). This photograph was taken while camping during the COVID-19 pandemic.,Eastern rat snake; Loblolly pine,"Falls Lake, Durham, NC",,,,,,image/png,,,http://rightsstatements.org/vocab/InC-EDU/1.0/
colkav8,Collection/Objects/sunsetwillowbeachlakear.png at main · chrkav/Collection (github.com),,,Willow Beach Lake Sunset,"Kavanagh, Christa",2022-04-27,"A sunset scene at Willow Beach Lake Campground, along the Arkansas River. This photograph was taken on a trip to see family in Texas. ",Arkansas River; Campgrounds,"Willow Beach Lake, Little Rock, AR",,,,,,image/png,,,http://rightsstatements.org/vocab/InC-EDU/1.0/
colkav9,Collection/Objects/beauinafield.JPG at main · chrkav/Collection (github.com),,,Beau the Australian Shepherd,"Kavanagh, Christa",2017-06-07,"A photograph of our family dog, Beau, in a field of dandelions. Beau was an Australian Shepherd.",Australian shepherd dog,"Mebane, NC",,,,,,image/png,,,http://rightsstatements.org/vocab/InC-EDU/1.0/